,HTBK
% Below High,0.0262
% Held by Institutions,0.7254
52-Wk Range,['10.42 - 14.87']
Annual Dividend $,0.52
Annual Dividend %,0.0359
Ask,23.15
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,1.0
Bid,14.42
Bid Size,200.0
Closing Price,14.48
Day Change $,0.11
Day Change %,0.0077
Day High,14.51
Day Low,14.36
Dividend Pay Date,2022-11-22 00:00:00
"EPS (TTM, GAAP)",0.98
Ex-dividend,2022-11-07 00:00:00
Ex-dividend Date,11/07/22
Historical Volatility,0.273
Last (size),28.0
Last (time),1:00p ET 11/25/22
Market Cap,879.2M
"P/E Ratio (TTM, GAAP)",14.78
Prev Close,14.37
Shares Outstanding,60.7M
Short Interest,0.011899999999999999
Today's Open,14.41
Volume,70305.0
Volume 10-day Avg,192705.0
Volume Past Day,(Light)
