,HTBK
Price/Earnings (TTM),14.78471
Price/Sales (TTM),4.98422
Price/Book (MRQ),1.44242
Price/Cash Flow (TTM),13.82799
5yr Low,6.04
5yr High,18.1
5yr Avg Return,0.015566666666666673
EPS Growth 5yr,0.0180758
Revenue Growth 5yr,0.10169299999999999
Dividend Growth 5yr,0.0763169
Short Int Current Month,694575.0
Short Int Prev Month,793520.0
Short Int Pct of Float,0.011915
Days to Cover,3.25451
Float,58.36154
Shares Outstanding,60.71899
Institutions Holding Shares,198.0
% Held by Institutions,0.7254120000000001
FCF Growth 5yr,0.14768066470852848
