,HTBK
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,6.0
Growth 1yr Low Est,0.44594594594594605
Growth 1yr High Est,0.42307692307692313
Growth 1yr Consensus Est,0.4345114345114346
Growth 2yr Low Est,0.3304496084869917
Growth 2yr High Est,0.3782051282051282
Growth 2yr Consensus Est,0.35432736834605993
Growth 5yr Low Est,0.3274425961341849
Growth 5yr High Est,0.34503292700014015
Growth 5yr Consensus Est,0.3362377615671625
Growth 5yr Actual/Est,0.17867220508070603
Growth 3yr Historic,0.01034100080710254
