,ABCB
% Below High,0.0424
% Held by Institutions,0.8898999999999999
52-Wk Range,['38.22 - 55.62']
Annual Dividend $,0.6
Annual Dividend %,0.0113
Ask,85.07
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.2
Bid,21.32
Bid Size,100.0
Closing Price,53.26
Day Change $,0.59
Day Change %,0.011200000000000002
Day High,53.53
Day Low,52.54
Dividend Pay Date,2022-10-10 00:00:00
"EPS (TTM, GAAP)",4.98
Ex-dividend,2022-09-29 00:00:00
Ex-dividend Date,09/29/22
Historical Volatility,0.326
Last (size),31.0
Last (time),12:59p ET 11/25/22
Market Cap,3.7B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",10.69
Prev Close,52.67
Shares Outstanding,69.4M
Short Interest,0.0225
Today's Open,52.92
Volume,57610.0
Volume 10-day Avg,272074.0
Volume Past Day,(Light)
