,ABCB
Price/Earnings (TTM),10.68965
Price/Sales (TTM),3.47944
Price/Book (MRQ),1.18424
Price/Cash Flow (TTM),9.64773
5yr Low,17.12
5yr High,59.85
5yr Avg Return,0.04044999999999999
EPS Growth 5yr,0.2106248
Revenue Growth 5yr,0.24079979999999998
Dividend Growth 5yr,0.1913579
Short Int Current Month,1470669.0
Short Int Prev Month,1476609.0
Short Int Pct of Float,0.0224702
Days to Cover,4.22367
Float,65.65025
Shares Outstanding,69.35171
Institutions Holding Shares,342.0
% Held by Institutions,0.8899250000000001
FCF Growth 5yr,-7.258922982249525
