,TELL
Price/Earnings (TTM),
Price/Sales (TTM),4.75873
Price/Book (MRQ),2.31044
Price/Cash Flow (TTM),
5yr Low,0.6664
5yr High,13.74
5yr Avg Return,-0.014600000000000009
Short Int Current Month,91344374.0
Short Int Prev Month,94356814.0
Short Int Pct of Float,0.1882263
Days to Cover,7.28595
Float,485.5755
Shares Outstanding,564.8176
Institutions Holding Shares,289.0
% Held by Institutions,0.385594
FCF Growth 5yr,0.6440661019067532
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
