,TELL
% Above Low,0.6364
% Held by Institutions,0.3856
52-Wk Range,['1.54 - 6.54']
Annual Dividend $,
Annual Dividend %,
Ask,2.53
Ask Size,200.0
Ask close,4.2
B/A Ratio,188.0
B/A Size,37600x200
Beta,2.2
Bid,2.51
Bid Size,37600.0
Bid close,4.15
Change Since Close,0.01| |(0.40%)
Closing Price,2.52
Day Change $,-0.1
Day Change %,-0.0382
Day High,2.6
Day Low,2.5
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.25
Ex-dividend Date,No dividend
Historical Volatility,0.966
Last (size),14.0
Last (time),4:10p ET 11/28/22
Last Trade,2.53
Market Cap,1.4B
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,2.62
Shares Outstanding,564.8M
Short Interest,0.1882
Today's Open,2.56
Volume,7789256.0
Volume 10-day Avg,9117724.0
Volume Past Day,(Below Average)
