,LOVE
% Above Low,0.33520000000000005
% Held by Institutions,0.9362
52-Wk Range,['19.42 - 85.13']
Annual Dividend $,
Annual Dividend %,
Ask,29.97
Ask Size,100.0
Ask close,31.82
B/A Ratio,1.0
B/A Size,100x100
Beta,2.4
Bid,23.52
Bid Size,100.0
Bid close,19.83
Change Since Close,-0.77| |(-2.97%)
Closing Price,25.93
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",2.75
Ex-dividend Date,No dividend
Historical Volatility,0.8059999999999999
Last (size),1.0
Last (time),1:00p ET 11/25/22
Last Trade,25.16
Market Cap,393.7M
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",9.43
Prev Close,25.93
Shares Outstanding,15.2M
Short Interest,0.1149
Today's Open,
Volume,1.0
Volume 10-day Avg,261063.0
Volume Past Day,(Light)
