,LOVE
Price/Earnings (TTM),9.42889
Price/Sales (TTM),0.66645
Price/Book (MRQ),2.37183
Price/Cash Flow (TTM),7.2936
5yr Low,4.0
5yr High,95.51
5yr Avg Return,0.23691999999999996
EPS Growth 5yr,
Revenue Growth 5yr,0.45523519999999995
Dividend Growth 5yr,
Short Int Current Month,1546372.0
Short Int Prev Month,1709552.0
Short Int Pct of Float,0.11485989999999999
Days to Cover,5.6738
Float,13.46566
Shares Outstanding,15.18436
Institutions Holding Shares,172.0
% Held by Institutions,0.936211
FCF Growth 5yr,-0.8695995626776999
