,VRRM
% Below High,0.1362
% Held by Institutions,1.0675
52-Wk Range,['12.70 - 18.13']
Annual Dividend $,
Annual Dividend %,
Ask,15.66
Ask Size,3000.0
B/A Ratio,0.4
B/A Size,1200x3000
Beta,1.2
Bid,15.65
Bid Size,1200.0
Closing Price,15.66
Day Change $,-0.2
Day Change %,-0.0126
Day High,15.83
Day Low,15.55
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.52
Ex-dividend Date,No dividend
Historical Volatility,0.401
Last (size),7.0
Last (time),3:59p ET 11/28/22
Market Cap,2.3B
"P/E Ratio (TTM, GAAP)",30.43
Prev Close,15.86
Shares Outstanding,149.9M
Short Interest,0.0768
Today's Open,15.64
Volume,1052606.0
Volume 10-day Avg,1501396.0
Volume Past Day,(Light)
