,VRRM
Price/Earnings (TTM),30.42861
Price/Sales (TTM),3.27636
Price/Book (MRQ),12.17028
Price/Cash Flow (TTM),10.74388
5yr Low,5.63
5yr High,18.13
5yr Avg Return,0.0876
Short Int Current Month,11379124.0
Short Int Prev Month,9997120.0
Short Int Pct of Float,0.0767671
Days to Cover,4.02105
Float,148.4034
Shares Outstanding,149.8757
Institutions Holding Shares,283.0
% Held by Institutions,1.067492
FCF Growth 5yr,0.7917815853971062
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
