,IMXI
Price/Earnings (TTM),14.2734
Price/Sales (TTM),1.50021
Price/Book (MRQ),5.37449
Price/Cash Flow (TTM),11.71043
5yr Low,6.46
5yr High,27.81
5yr Avg Return,0.14176666666666668
Short Int Current Month,601071.0
Short Int Prev Month,811219.0
Short Int Pct of Float,0.0183727
Days to Cover,0.88321
Float,32.7021
Shares Outstanding,37.06244
Institutions Holding Shares,242.0
% Held by Institutions,0.818471
FCF Growth 5yr,
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
