,IMXI
Next Earnings Announcement,2023-03-06 00:00:00
Growth Analysts,4.0
Growth 1yr Low Est,0.3999999999999999
Growth 1yr High Est,0.3947368421052633
Growth 1yr Consensus Est,0.3973684210526316
Growth 2yr Low Est,0.28116883116883107
Growth 2yr High Est,0.3231545845746442
Growth 2yr Consensus Est,0.30216170787173763
Growth 5yr Low Est,0.4121204820089096
Growth 5yr High Est,0.38388173203362225
Growth 5yr Consensus Est,0.3980011070212659
Growth 5yr Actual/Est,0.3934731934731934
Growth 3yr Historic,0.26398601398601396
