,IMXI
% Above Low,0.4267
% Held by Institutions,0.8184999999999999
52-Wk Range,['14.74 - 27.81']
Annual Dividend $,
Annual Dividend %,
Ask,27.9
Ask Size,100.0
B/A Ratio,9.0
B/A Size,900x100
Beta,0.6
Bid,19.51
Bid Size,900.0
Closing Price,21.03
Day Change $,-0.33
Day Change %,-0.0154
Day High,21.78
Day Low,21.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.47
Ex-dividend Date,No dividend
Historical Volatility,0.394
Last (size),15.0
Last (time),1:00p ET 11/25/22
Market Cap,779.4M
"P/E Ratio (TTM, GAAP)",14.27
Prev Close,21.36
Shares Outstanding,37.1M
Short Interest,0.0184
Today's Open,21.39
Volume,131195.0
Volume 10-day Avg,497293.0
Volume Past Day,(Light)
