,SQSP
Price/Earnings (TTM),
Price/Sales (TTM),3.33506
Price/Book (MRQ),
Price/Cash Flow (TTM),
5yr Low,14.43
5yr High,64.71
5yr Avg Return,-0.35495000000000004
Short Int Current Month,1989106.0
Short Int Prev Month,1992523.0
Short Int Pct of Float,0.0331859
Days to Cover,2.75247
Float,82.73243
Shares Outstanding,136.8296
Institutions Holding Shares,167.0
% Held by Institutions,0.759812
FCF Growth 5yr,0.2194314587109465
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
