,SQSP
% Above Low,0.39880000000000004
% Held by Institutions,0.7598
52-Wk Range,['14.43 - 36.99']
Annual Dividend $,
Annual Dividend %,
Ask,20.21
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,
Bid,20.17
Bid Size,100.0
Day Change $,-0.425
Day Change %,-0.0206
Day High,20.71
Day Low,20.12
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.26
Ex-dividend Date,No dividend
Historical Volatility,0.828
Last (size),100.0
Last (time),3:09p ET 11/28/22
Market Cap,2.8B
"P/E Ratio (TTM, GAAP)",
Prev Close,20.61
Price,20.19
Shares Outstanding,136.8M
Short Interest,0.0332
Today's Open,20.58
Volume Past Day,(Light)
