,CCS
% Above Low,0.2254
% Held by Institutions,0.8941
52-Wk Range,['39.00 - 86.07']
Annual Dividend $,0.8
Annual Dividend %,0.0167
Ask,48.25
Ask Size,
B/A Ratio,
B/A Size,--
Beta,1.7
Bid,
Bid Size,
Closing Price,47.79
Day Change $,-0.2
Day Change %,-0.0042
Day High,48.15
Day Low,47.67
Dividend Pay Date,2022-12-14 00:00:00
"EPS (TTM, GAAP)",18.19
Ex-dividend,2022-11-29 00:00:00
Ex-dividend Date,11/29/22
Historical Volatility,0.535
Last (size),14.0
Last (time),5:00p ET 11/25/22
Market Cap,1.5B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",2.63
Prev Close,47.99
Shares Outstanding,31.8M
Short Interest,0.071
Today's Open,47.67
Volume,79165.0
Volume 10-day Avg,206485.0
Volume Past Day,(Light)
