,SSRM
Price/Earnings (TTM),14.78078
Price/Sales (TTM),2.45689
Price/Book (MRQ),0.87735
Price/Cash Flow (TTM),6.49113
5yr Low,7.64
5yr High,25.32
5yr Avg Return,0.11585000000000001
EPS Growth 5yr,0.2102532
Revenue Growth 5yr,0.24594080000000001
Dividend Growth 5yr,
Short Int Current Month,6742978.0
Short Int Prev Month,7125692.0
Short Int Pct of Float,0.03282
Days to Cover,4.02847
Float,205.4558
Shares Outstanding,206.5993
Institutions Holding Shares,338.0
% Held by Institutions,0.6607890000000001
FCF Growth 5yr,-2.0334902571744675
