,SSRM
% Above Low,0.1149
% Held by Institutions,0.6607999999999999
52-Wk Range,['12.84 - 24.58']
Annual Dividend $,0.28
Annual Dividend %,0.018799999999999997
Ask,14.32
Ask Size,3200.0
B/A Ratio,0.09375
B/A Size,300x3200
Beta,0.8
Bid,14.31
Bid Size,300.0
Day Change $,-0.55
Day Change %,-0.037000000000000005
Day High,14.8
Day Low,14.28
Dividend Pay Date,2022-12-19 00:00:00
"EPS (TTM, GAAP)",1.01
Ex-dividend,2022-11-17 00:00:00
Ex-dividend Date,11/17/22
Historical Volatility,0.444
Last (size),100.0
Last (time),3:20p ET 11/28/22
Market Cap,3.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",14.78
Prev Close,14.86
Price,14.31
Shares Outstanding,206.6M
Short Interest,0.032799999999999996
Today's Open,14.77
Volume Past Day,(Below Average)
