,RHI
% Above Low,0.1711
% Held by Institutions,1.0075
52-Wk Range,['65.40 - 125.77']
Annual Dividend $,1.72
Annual Dividend %,0.022099999999999998
Ask,76.62
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.3
Bid,76.56
Bid Size,100.0
Day Change $,-1.22
Day Change %,-0.015700000000000002
Day High,77.29
Day Low,76.0
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",6.17
Ex-dividend,2022-11-23 00:00:00
Ex-dividend Date,11/23/22
Historical Volatility,0.36200000000000004
Last (size),100.0
Last (time),12:46p ET 11/28/22
Market Cap,8.3B
Market Edge Opinion:,Neutral From Long
"P/E Ratio (TTM, GAAP)",12.62
Prev Close,77.81
Price,76.59
Shares Outstanding,108.5M
Short Interest,0.0801
Today's Open,77.0
Volume Past Day,(Light)
