,RHI
Price/Earnings (TTM),12.61689
Price/Sales (TTM),1.15949
Price/Book (MRQ),5.66245
Price/Cash Flow (TTM),11.62175
5yr Low,32.38
5yr High,125.77
5yr Avg Return,0.09685
EPS Growth 5yr,0.1497659
Revenue Growth 5yr,0.042383300000000006
Dividend Growth 5yr,0.1155067
Short Int Current Month,8451303.0
Short Int Prev Month,7224853.0
Short Int Pct of Float,0.0800915
Days to Cover,7.32913
Float,105.4934
Shares Outstanding,108.4985
Institutions Holding Shares,847.0
% Held by Institutions,1.007465
FCF Growth 5yr,1.21927611098612
