,ACI
% Above Low,0.0309
% Held by Institutions,0.6751999999999999
52-Wk Range,['20.05 - 37.99']
Annual Dividend $,0.48
Annual Dividend %,0.0232
Ask,20.75
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,
Bid,20.6
Bid Size,200.0
Closing Price,20.67
Day Change $,0.23
Day Change %,0.0113
Day High,20.69
Day Low,20.5
Dividend Pay Date,2022-11-14 00:00:00
"EPS (TTM, GAAP)",2.83
Ex-dividend,2022-10-28 00:00:00
Ex-dividend Date,10/28/22
Historical Volatility,0.508
Last (size),100.0
Last (time),5:00p ET 11/25/22
Market Cap,11.1B
"P/E Ratio (TTM, GAAP)",7.32
Prev Close,20.44
Shares Outstanding,535.1M
Short Interest,0.0215
Today's Open,20.51
Volume,906084.0
Volume 10-day Avg,3162988.0
Volume Past Day,(Light)
