,ACI
Next Earnings Announcement,2023-01-10 00:00:00
Growth Analysts,20.0
Growth 1yr Low Est,-0.028673835125448077
Growth 1yr High Est,0.06666666666666665
Growth 1yr Consensus Est,0.018996415770609287
Growth 2yr Low Est,-0.11027787697231811
Growth 2yr High Est,0.03802083333333328
Growth 2yr Consensus Est,-0.036128521819492415
Growth 5yr Low Est,-0.11027787697231811
Growth 5yr High Est,0.03802083333333328
Growth 5yr Consensus Est,-0.036128521819492415
Growth 5yr Actual/Est,-0.03731236846691063
Growth 3yr Historic,-0.01748971193415642
