,PZZA
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,15.0
Growth 1yr Low Est,-0.13750000000000007
Growth 1yr High Est,-0.1445086705202312
Growth 1yr Consensus Est,-0.14100433526011563
Growth 2yr Low Est,-0.01621376811594205
Growth 2yr High Est,0.0561240431182628
Growth 2yr Consensus Est,0.019955137501160375
Growth 5yr Low Est,0.40030741157006505
Growth 5yr High Est,0.4291705732435542
Growth 5yr Consensus Est,0.41473899240680967
Growth 5yr Actual/Est,0.42156385681472186
Growth 3yr Historic,0.4259310134310134
