,SDGR
Price/Earnings (TTM),
Price/Sales (TTM),7.62652
Price/Book (MRQ),2.804
Price/Cash Flow (TTM),
5yr Low,17.73
5yr High,117.0
5yr Avg Return,0.32886666666666664
Short Int Current Month,3587419.0
Short Int Prev Month,4108306.0
Short Int Pct of Float,0.0619456
Days to Cover,4.81988
Float,58.09103
Shares Outstanding,71.23746
Institutions Holding Shares,278.0
% Held by Institutions,0.770663
FCF Growth 5yr,0.22177761993185782
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
