,SDGR
% Above Low,0.0202
% Held by Institutions,0.7706999999999999
52-Wk Range,['17.31 - 41.89']
Annual Dividend $,
Annual Dividend %,
Ask,17.68
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,17.63
Bid Size,200.0
Day Change $,-0.57
Day Change %,-0.0313
Day High,18.38
Day Low,17.31
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-2.15
Ex-dividend Date,No dividend
Historical Volatility,0.667
Last (size),100.0
Last (time),1:52p ET 11/28/22
Market Cap,1.3B
"P/E Ratio (TTM, GAAP)",
Prev Close,18.23
Price,17.66
Shares Outstanding,71.2M
Short Interest,0.061900000000000004
Today's Open,18.1
Volume Past Day,(Below Average)
