,HYLN
Price/Earnings (TTM),
Price/Sales (TTM),473.4005
Price/Book (MRQ),1.27
Price/Cash Flow (TTM),
5yr Low,2.33
5yr High,58.66
5yr Avg Return,-0.11070000000000003
Short Int Current Month,13170660.0
Short Int Prev Month,13889849.0
Short Int Pct of Float,0.107987
Days to Cover,12.0905
Float,121.9652
Shares Outstanding,179.7141
Institutions Holding Shares,173.0
% Held by Institutions,0.317444
FCF Growth 5yr,0.26376352306997247
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
