,HYLN
% Above Low,0.3691
% Held by Institutions,0.31739999999999996
52-Wk Range,['2.33 - 6.82']
Annual Dividend $,
Annual Dividend %,
Ask,3.19
Ask Size,2400.0
B/A Ratio,0.08333333333333333
B/A Size,200x2400
Beta,1.2
Bid,3.01
Bid Size,200.0
Closing Price,3.19
Day Change $,0.2
Day Change %,0.0669
Day High,3.23
Day Low,3.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.88
Ex-dividend Date,No dividend
Historical Volatility,0.7140000000000001
Last (size),5.0
Last (time),5:00p ET 11/25/22
Market Cap,573.3M
"P/E Ratio (TTM, GAAP)",
Prev Close,2.99
Shares Outstanding,179.7M
Short Interest,0.10800000000000001
Today's Open,3.01
Volume,725651.0
Volume 10-day Avg,1141964.0
Volume Past Day,(Light)
