,LEN
Price/Earnings (TTM),5.69222
Price/Sales (TTM),0.77045
Price/Book (MRQ),1.0946
Price/Cash Flow (TTM),5.37572
5yr Low,25.42
5yr High,117.54
5yr Avg Return,0.11795000000000001
EPS Growth 5yr,0.29407520000000004
Revenue Growth 5yr,0.1989727
Dividend Growth 5yr,0.4426999
Short Int Current Month,9439823.0
Short Int Prev Month,10000878.0
Short Int Pct of Float,0.0379294
Days to Cover,3.50343
Float,263.8629
Shares Outstanding,291.1666
Institutions Holding Shares,982.0
% Held by Institutions,0.9600879999999999
FCF Growth 5yr,2.960771625277298
