,LDOS
% Below High,0.020099999999999996
% Held by Institutions,0.7707999999999999
52-Wk Range,['81.07 - 111.12']
Annual Dividend $,1.44
Annual Dividend %,0.0132
Ask,110.37
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,0.8
Bid,74.0
Bid Size,100.0
Closing Price,108.89
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,2022-12-30 00:00:00
"EPS (TTM, GAAP)",4.88
Ex-dividend,2022-12-14 00:00:00
Ex-dividend Date,12/14/22
Historical Volatility,0.256
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,14.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",22.31
Prev Close,108.89
Shares Outstanding,136.7M
Short Interest,0.005699999999999999
Today's Open,
Volume,268932.0
Volume 10-day Avg,1022214.0
Volume Past Day,(Light)
