,LDOS
Price/Earnings (TTM),22.31435
Price/Sales (TTM),1.04892
Price/Book (MRQ),3.65099
Price/Cash Flow (TTM),14.6066
5yr Low,50.33
5yr High,125.84
5yr Avg Return,0.14385
EPS Growth 5yr,0.1754944
Revenue Growth 5yr,0.142949
Dividend Growth 5yr,-0.0263528
Short Int Current Month,774664.0
Short Int Prev Month,948941.0
Short Int Pct of Float,0.0057236
Days to Cover,0.76828
Float,135.4358
Shares Outstanding,136.6896
Institutions Holding Shares,759.0
% Held by Institutions,0.770796
FCF Growth 5yr,2.648586562664233
