,SIX
Next Earnings Announcement,2023-02-23 00:00:00
Growth Analysts,12.0
Growth 1yr Low Est,-0.34375
Growth 1yr High Est,-0.049689440993788914
Growth 1yr Consensus Est,-0.19671972049689446
Growth 2yr Low Est,0.19717261904761907
Growth 2yr High Est,0.1679657370194454
Growth 2yr Consensus Est,0.18256917803353223
Growth 5yr Low Est,-0.2853813328984562
Growth 5yr High Est,-0.373818296532491
Growth 5yr Consensus Est,-0.32959981471547356
Growth 5yr Actual/Est,-1.0988511997685522
Growth 3yr Historic,-1.166382528089354
