,SIX
Price/Earnings (TTM),19.80302
Price/Sales (TTM),1.34703
Price/Book (MRQ),
Price/Cash Flow (TTM),7.38504
5yr Low,8.75
5yr High,73.38
5yr Avg Return,-0.12531666666666666
EPS Growth 5yr,0.0365164
Revenue Growth 5yr,0.0255662
Dividend Growth 5yr,
Short Int Current Month,7793065.0
Short Int Prev Month,9210456.0
Short Int Pct of Float,0.0956409
Days to Cover,2.13544
Float,81.97849
Shares Outstanding,83.1565
Institutions Holding Shares,335.0
% Held by Institutions,1.053774
FCF Growth 5yr,7.967745964474332
