,SIX
% Above Low,0.3357
% Held by Institutions,1.0537999999999998
52-Wk Range,['16.83 - 47.24']
Annual Dividend $,
Annual Dividend %,
Ask,22.48
Ask Size,1000.0
B/A Ratio,0.2
B/A Size,200x1000
Beta,2.2
Bid,22.47
Bid Size,200.0
Day Change $,-0.12
Day Change %,-0.0053
Day High,22.6
Day Low,22.11
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",1.14
Ex-dividend Date,No dividend
Historical Volatility,0.615
Last (size),100.0
Last (time),2:23p ET 11/28/22
Market Cap,1.9B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",19.8
Prev Close,22.6
Price,22.48
Shares Outstanding,83.2M
Short Interest,0.0956
Today's Open,22.26
Volume Past Day,(Light)
