,AJG
Price/Earnings (TTM),39.19105
Price/Sales (TTM),4.94624
Price/Book (MRQ),4.89985
Price/Cash Flow (TTM),24.81152
5yr Low,62.04
5yr High,198.54
5yr Avg Return,0.2125
EPS Growth 5yr,0.1448457
Revenue Growth 5yr,0.076428
Dividend Growth 5yr,0.045916399999999996
Short Int Current Month,2088643.0
Short Int Prev Month,2024211.0
Short Int Pct of Float,0.0100088
Days to Cover,2.26898
Float,208.9064
Shares Outstanding,210.84
Institutions Holding Shares,1155.0
% Held by Institutions,0.857792
FCF Growth 5yr,0.5313284551646119
