,AJG
% Below High,0.0016
% Held by Institutions,0.8578
52-Wk Range,['147.33 - 199.61']
Annual Dividend $,2.04
Annual Dividend %,0.0102
Ask,199.83
Ask Size,
B/A Ratio,
B/A Size,--
Beta,0.7
Bid,
Bid Size,
Closing Price,199.29
Day Change $,1.97
Day Change %,0.01
Day High,199.61
Day Low,197.77
Dividend Pay Date,2022-12-16 00:00:00
"EPS (TTM, GAAP)",5.09
Ex-dividend,2022-12-01 00:00:00
Ex-dividend Date,12/01/22
Historical Volatility,0.267
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,42.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",39.19
Prev Close,197.32
Shares Outstanding,210.8M
Short Interest,0.01
Today's Open,198.0
Volume,633917.0
Volume 10-day Avg,842155.0
Volume Past Day,(Light)
