,BJ
% Below High,0.0859
% Held by Institutions,0.9506
52-Wk Range,['51.45 - 80.41']
Annual Dividend $,
Annual Dividend %,
Ask,74.3
Ask Size,400.0
B/A Ratio,0.25
B/A Size,100x400
Beta,0.4
Bid,73.5
Bid Size,100.0
Closing Price,73.5
Day Change $,0.52
Day Change %,0.0070999999999999995
Day High,74.28
Day Low,73.01
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",3.6
Ex-dividend Date,No dividend
Historical Volatility,0.424
Last (size),47.0
Last (time),5:00p ET 11/25/22
Market Cap,9.9B
"P/E Ratio (TTM, GAAP)",20.41
Prev Close,72.98
Shares Outstanding,134.4M
Short Interest,0.022799999999999997
Today's Open,73.03
Volume,652009.0
Volume 10-day Avg,2303569.0
Volume Past Day,(Light)
