,BJ
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,23.0
Growth 1yr Low Est,0.17845117845117842
Growth 1yr High Est,0.049315068493150704
Growth 1yr Consensus Est,0.11388312347216456
Growth 2yr Low Est,0.10351130351130355
Growth 2yr High Est,0.050767194820987904
Growth 2yr Consensus Est,0.07713924916614573
Growth 5yr Low Est,0.3104121780916764
Growth 5yr High Est,0.3572799748666272
Growth 5yr Consensus Est,0.3338460764791518
Growth 5yr Actual/Est,0.33394491655872044
Growth 3yr Historic,0.2920545728598661
