,FNKO
% Above Low,0.21309999999999998
% Held by Institutions,0.6576000000000001
52-Wk Range,['7.60 - 27.79']
Annual Dividend $,
Annual Dividend %,
Ask,9.61
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,1.7
Bid,9.0
Bid Size,100.0
Closing Price,9.22
Day Change $,-0.06
Day Change %,-0.006500000000000001
Day High,9.4
Day Low,9.15
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.98
Ex-dividend Date,No dividend
Historical Volatility,1.118
Last (size),5.0
Last (time),1:00p ET 11/25/22
Market Cap,435.0M
Market Edge Opinion:,Avoid
"P/E Ratio (TTM, GAAP)",9.45
Prev Close,9.28
Shares Outstanding,47.2M
Short Interest,0.0758
Today's Open,9.25
Volume,224477.0
Volume 10-day Avg,1067726.0
Volume Past Day,(Light)
