,FNKO
Next Earnings Announcement,2023-03-02 00:00:00
Growth Analysts,8.0
Growth 1yr Low Est,-0.20000000000000007
Growth 1yr High Est,-0.07216494845360821
Growth 1yr Consensus Est,-0.13608247422680414
Growth 2yr Low Est,-0.4680555555555556
Growth 2yr High Est,0.3805841924398625
Growth 2yr Consensus Est,-0.043735681557846545
Growth 5yr Low Est,-0.2340277777777778
Growth 5yr High Est,0.19029209621993126
Growth 5yr Consensus Est,-0.021867840778923273
Growth 5yr Actual/Est,0.5216586965486614
Growth 3yr Historic,0.5558136261261262
