,HTZ
Price/Earnings (TTM),5.38391
Price/Sales (TTM),0.66099
Price/Book (MRQ),2.10345
Price/Cash Flow (TTM),2.81658
5yr Low,14.15
5yr High,46.0
5yr Avg Return,-0.10425
EPS Growth 5yr,
Revenue Growth 5yr,-0.0358031
Dividend Growth 5yr,
Short Int Current Month,22488263.0
Short Int Prev Month,22228578.0
Short Int Pct of Float,0.0687389
Days to Cover,8.63534
Float,330.3625
Shares Outstanding,333.9522
Institutions Holding Shares,286.0
% Held by Institutions,0.964225
FCF Growth 5yr,0.21223864319129448
