,HSKA
Price/Earnings (TTM),
Price/Sales (TTM),2.59735
Price/Book (MRQ),1.64926
Price/Cash Flow (TTM),
5yr Low,50.0
5yr High,275.94
5yr Avg Return,0.0344
EPS Growth 5yr,
Revenue Growth 5yr,0.14296609999999998
Dividend Growth 5yr,
Short Int Current Month,954037.0
Short Int Prev Month,1003793.0
Short Int Pct of Float,0.0939817
Days to Cover,8.79402
Float,10.15521
Shares Outstanding,10.82559
Institutions Holding Shares,225.0
% Held by Institutions,0.966442
FCF Growth 5yr,-1.6303606838203555
