,PGC
Price/Earnings (TTM),11.21515
Price/Sales (TTM),3.16613
Price/Book (MRQ),1.43604
Price/Cash Flow (TTM),10.06755
5yr Low,11.15
5yr High,42.19
5yr Avg Return,0.059466666666666654
EPS Growth 5yr,0.1285502
Revenue Growth 5yr,0.0646027
Dividend Growth 5yr,0.0
Short Int Current Month,167107.0
Short Int Prev Month,191594.0
Short Int Pct of Float,0.0103912
Days to Cover,2.60454
Float,16.13192
Shares Outstanding,17.92077
Institutions Holding Shares,188.0
% Held by Institutions,0.749483
FCF Growth 5yr,0.4050962781520037
