,PGC
Next Earnings Announcement,2023-01-26 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,0.6652719665271967
Growth 1yr High Est,0.6300813008130082
Growth 1yr Consensus Est,0.6476766336701024
Growth 2yr Low Est,0.36655558125354804
Growth 2yr High Est,0.3711503760922896
Growth 2yr Consensus Est,0.36885297867291883
Growth 5yr Low Est,0.18327779062677402
Growth 5yr High Est,0.1855751880461448
Growth 5yr Consensus Est,0.18442648933645941
Growth 5yr Actual/Est,0.2291333176626798
Growth 3yr Historic,0.1332149093025512
