,PGC
% Below High,0.025699999999999997
% Held by Institutions,0.7495
52-Wk Range,['27.71 - 42.19']
Annual Dividend $,0.2
Annual Dividend %,0.0048
Ask,41.15
Ask Size,100.0
B/A Ratio,3.0
B/A Size,300x100
Beta,1.1
Bid,41.03
Bid Size,300.0
Day Change $,-0.2061
Day Change %,-0.005
Day High,41.19
Day Low,40.97
Dividend Pay Date,2022-11-28 00:00:00
"EPS (TTM, GAAP)",3.68
Ex-dividend,2022-11-09 00:00:00
Ex-dividend Date,11/09/22
Historical Volatility,0.27
Last (size),3.0
Last (time),10:38a ET 11/28/22
Market Cap,736.6M
"P/E Ratio (TTM, GAAP)",11.22
Prev Close,41.31
Price,41.1
Shares Outstanding,17.9M
Short Interest,0.0104
Today's Open,41.19
Volume Past Day,(Light)
