,LULU
% Below High,0.2296
% Held by Institutions,0.8682
52-Wk Range,['251.51 - 468.77']
Annual Dividend $,
Annual Dividend %,
Ask,371.0
Ask Size,100.0
Ask close,383.06
B/A Ratio,1.0
B/A Size,100x100
Beta,1.3
Bid,353.19
Bid Size,100.0
Bid close,336.67
Change Since Close,-4.28| |(-1.19%)
Closing Price,361.16
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",8.54
Ex-dividend Date,No dividend
Historical Volatility,0.48
Last (size),100.0
Last (time),1:00p ET 11/25/22
Last Trade,356.88
Market Cap,46.1B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",42.29
Prev Close,361.16
Shares Outstanding,127.5M
Short Interest,0.0236
Today's Open,
Volume,122.0
Volume 10-day Avg,1252691.0
Volume Past Day,(Light)
