,OKTA
Price/Earnings (TTM),
Price/Sales (TTM),4.97233
Price/Book (MRQ),1.45894
Price/Cash Flow (TTM),
5yr Low,24.93
5yr High,294.0
5yr Avg Return,0.41288333333333327
EPS Growth 5yr,
Revenue Growth 5yr,0.5189436
Dividend Growth 5yr,
Short Int Current Month,8685711.0
Short Int Prev Month,7856547.0
Short Int Pct of Float,0.057752
Days to Cover,1.87874
Float,150.8553
Shares Outstanding,158.8728
Institutions Holding Shares,827.0
% Held by Institutions,0.793653
FCF Growth 5yr,-1.1122882333933435
