,OKTA
% Above Low,0.1353
% Held by Institutions,0.7937000000000001
52-Wk Range,['44.12 - 244.18']
Annual Dividend $,
Annual Dividend %,
Ask,49.72
Ask Size,700.0
Ask close,52.82
B/A Ratio,0.2857142857142857
B/A Size,200x700
Beta,1.2
Bid,48.86
Bid Size,200.0
Bid close,47.0
Change Since Close,-1.23| |(-2.46%)
Closing Price,50.09
Day Change $,
Day Change %,
Day High,
Day Low,
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-5.89
Ex-dividend Date,No dividend
Historical Volatility,0.821
Last (size),100.0
Last (time),1:00p ET 11/25/22
Last Trade,48.86
Market Cap,8.0B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",
Prev Close,50.09
Shares Outstanding,158.9M
Short Interest,0.057800000000000004
Today's Open,
Volume,20269.0
Volume 10-day Avg,4361559.0
Volume Past Day,(Light)
