,PCOR
% Above Low,0.1825
% Held by Institutions,0.8195
52-Wk Range,['40.00 - 89.78']
Annual Dividend $,
Annual Dividend %,
Ask,47.37
Ask Size,200.0
B/A Ratio,1.0
B/A Size,200x200
Beta,
Bid,47.15
Bid Size,200.0
Day Change $,-0.58
Day Change %,-0.0121
Day High,48.36
Day Low,47.14
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-1.95
Ex-dividend Date,No dividend
Historical Volatility,0.623
Last (size),100.0
Last (time),10:15a ET 11/28/22
Market Cap,6.5B
"P/E Ratio (TTM, GAAP)",
Prev Close,47.88
Price,47.3
Shares Outstanding,138.0M
Short Interest,0.0724
Today's Open,47.14
Volume Past Day,(Light)
