,PCOR
Price/Earnings (TTM),
Price/Sales (TTM),9.94783
Price/Book (MRQ),5.87558
Price/Cash Flow (TTM),
5yr Low,40.0
5yr High,108.75
5yr Avg Return,-0.22649999999999998
Short Int Current Month,6339973.0
Short Int Prev Month,6467677.0
Short Int Pct of Float,0.0724089
Days to Cover,7.33227
Float,121.445
Shares Outstanding,138.0091
Institutions Holding Shares,274.0
% Held by Institutions,0.8194830000000001
FCF Growth 5yr,2.0535745047372953
EPS Growth 5yr,
Revenue Growth 5yr,
Dividend Growth 5yr,
