,SCHW
Price/Earnings (TTM),24.77422
Price/Sales (TTM),7.31231
Price/Book (MRQ),5.72496
Price/Cash Flow (TTM),20.31803
5yr Low,28.0
5yr High,96.24
5yr Avg Return,0.11560000000000001
EPS Growth 5yr,0.1663836
Revenue Growth 5yr,0.19968789999999997
Dividend Growth 5yr,0.2167287
Short Int Current Month,16052381.0
Short Int Prev Month,14611831.0
Short Int Pct of Float,0.009478499999999999
Days to Cover,2.09214
Float,1693.677
Shares Outstanding,1866.739
Institutions Holding Shares,1947.0
% Held by Institutions,0.745098
FCF Growth 5yr,-1.100114193582961
