,PCG
Price/Earnings (TTM),18.28608
Price/Sales (TTM),1.75793
Price/Book (MRQ),1.37406
Price/Cash Flow (TTM),6.84375
5yr Low,3.55
5yr High,55.28
5yr Avg Return,-0.1376
EPS Growth 5yr,
Revenue Growth 5yr,0.031627
Dividend Growth 5yr,
Short Int Current Month,112177987.0
Short Int Prev Month,128838701.0
Short Int Pct of Float,0.0530683
Days to Cover,6.34265
Float,2123.105
Shares Outstanding,2465.444
Institutions Holding Shares,621.0
% Held by Institutions,0.714554
FCF Growth 5yr,1.0694483398386347
