,PCG
% Below High,0.0339
% Held by Institutions,0.7145999999999999
52-Wk Range,['9.64 - 15.61']
Annual Dividend $,
Annual Dividend %,
Ask,15.06
Ask Size,2400.0
B/A Ratio,2.0416666666666665
B/A Size,4900x2400
Beta,1.1
Bid,15.07
Bid Size,4900.0
Day Change $,-0.294
Day Change %,-0.0191
Day High,15.15
Day Low,14.96
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",0.84
Ex-dividend Date,No dividend
Historical Volatility,0.36
Last (size),100.0
Last (time),10:16a ET 11/28/22
Market Cap,30.0B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",18.29
Prev Close,15.37
Price,15.08
Shares Outstanding,2.0B
Short Interest,0.053099999999999994
Today's Open,15.08
Volume Past Day,(Light)
