,PCG
Next Earnings Announcement,2023-02-09 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,-0.7093333333333334
Growth 1yr High Est,-0.7338129496402878
Growth 1yr Consensus Est,-0.7215731414868105
Growth 2yr Low Est,-0.3042079510703365
Growth 2yr High Est,-0.3038434117570809
Growth 2yr Consensus Est,-0.30402568141370867
Growth 5yr Low Est,-0.15210397553516825
Growth 5yr High Est,-0.15192170587854045
Growth 5yr Consensus Est,-0.15201284070685434
Growth 5yr Actual/Est,-0.19797847694462364
Growth 3yr Historic,-0.22988083384698052
