,AIMC
Price/Earnings (TTM),233.428
Price/Sales (TTM),1.95418
Price/Book (MRQ),1.9956
Price/Cash Flow (TTM),32.22573
5yr Low,12.0
5yr High,68.07
5yr Avg Return,0.10196666666666665
EPS Growth 5yr,-0.1530191
Revenue Growth 5yr,0.2179343
Dividend Growth 5yr,-0.12944940000000002
Short Int Current Month,1574679.0
Short Int Prev Month,962528.0
Short Int Pct of Float,0.0244273
Days to Cover,0.64199
Float,64.4671
Shares Outstanding,65.16943
Institutions Holding Shares,307.0
% Held by Institutions,0.983121
FCF Growth 5yr,-1.322519465962089
