,AIMC
% Below High,0.0346
% Held by Institutions,0.9831
52-Wk Range,['32.18 - 60.44']
Annual Dividend $,0.36
Annual Dividend %,0.0062
Ask,62.0
Ask Size,100.0
B/A Ratio,1.0
B/A Size,100x100
Beta,2.3
Bid,58.04
Bid Size,100.0
Closing Price,58.35
Day Change $,-0.11
Day Change %,-0.0019
Day High,58.53
Day Low,58.31
Dividend Pay Date,2023-01-03 00:00:00
"EPS (TTM, GAAP)",0.25
Ex-dividend,2022-12-15 00:00:00
Ex-dividend Date,12/15/22
Historical Volatility,0.578
Last (size),31.0
Last (time),12:59p ET 11/25/22
Market Cap,3.8B
Market Edge Opinion:,Long
"P/E Ratio (TTM, GAAP)",233.43
Prev Close,58.46
Shares Outstanding,65.2M
Short Interest,0.024399999999999998
Today's Open,58.35
Volume,545266.0
Volume 10-day Avg,1034470.0
Volume Past Day,(Light)
