,VVX
Price/Earnings (TTM),34.67388
Price/Sales (TTM),0.53287
Price/Book (MRQ),1.25707
Price/Cash Flow (TTM),27.4444
5yr Low,19.61
5yr High,60.32
5yr Avg Return,0.13335
EPS Growth 5yr,0.1237867
Revenue Growth 5yr,0.084215
Dividend Growth 5yr,
Short Int Current Month,159124.0
Short Int Prev Month,159325.0
Short Int Pct of Float,0.014318599999999999
Days to Cover,3.07118
Float,30.0956
Shares Outstanding,30.46604
Institutions Holding Shares,211.0
% Held by Institutions,0.962964
FCF Growth 5yr,0.5169622546484485
