,PII
Next Earnings Announcement,2023-01-24 00:00:00
Growth Analysts,16.0
Growth 1yr Low Est,0.13228699551569512
Growth 1yr High Est,0.13186813186813207
Growth 1yr Consensus Est,0.1320775636919136
Growth 2yr Low Est,0.012183101718243605
Growth 2yr High Est,0.1644777552544543
Growth 2yr Consensus Est,0.08833042848634895
Growth 5yr Low Est,0.11403697622027745
Growth 5yr High Est,0.19163856167146093
Growth 5yr Consensus Est,0.1528377689458692
Growth 5yr Actual/Est,0.13620396477791658
Growth 3yr Historic,0.10106752690282278
