,PII
% Below High,0.1175
% Held by Institutions,0.8853
52-Wk Range,['91.86 - 127.37']
Annual Dividend $,2.56
Annual Dividend %,0.022799999999999997
Ask,112.52
Ask Size,200.0
B/A Ratio,0.5
B/A Size,100x200
Beta,1.5
Bid,112.31
Bid Size,100.0
Day Change $,0.03
Day Change %,0.0003
Day High,113.06
Day Low,111.61
Dividend Pay Date,2022-12-15 00:00:00
"EPS (TTM, GAAP)",8.17
Ex-dividend,2022-11-30 00:00:00
Ex-dividend Date,11/30/22
Historical Volatility,0.43
Last (size),100.0
Last (time),10:50a ET 11/28/22
Market Cap,6.5B
Market Edge Opinion:,Neutral From Avoid
"P/E Ratio (TTM, GAAP)",13.76
Prev Close,112.38
Price,112.41
Shares Outstanding,58.0M
Short Interest,0.1106
Today's Open,111.61
Volume Past Day,(Light)
