,PII
Price/Earnings (TTM),13.76332
Price/Sales (TTM),0.77955
Price/Book (MRQ),6.40972
Price/Cash Flow (TTM),9.0163
5yr Low,37.36
5yr High,147.73
5yr Avg Return,0.002316666666666668
EPS Growth 5yr,0.19237559999999998
Revenue Growth 5yr,0.1266287
Dividend Growth 5yr,0.0275325
Short Int Current Month,6057898.0
Short Int Prev Month,5585210.0
Short Int Pct of Float,0.1106445
Days to Cover,9.42699
Float,54.80505
Shares Outstanding,57.95851
Institutions Holding Shares,534.0
% Held by Institutions,0.8853319999999999
FCF Growth 5yr,7.4206755601471714
