,BOMN
Price/Earnings (TTM),
Price/Sales (TTM),11.2873
Price/Book (MRQ),1.66442
Price/Cash Flow (TTM),247.7081
5yr Low,13.04
5yr High,49.92
5yr Avg Return,0.062266666666666665
EPS Growth 5yr,
Revenue Growth 5yr,0.7146922000000001
Dividend Growth 5yr,
Short Int Current Month,813653.0
Short Int Prev Month,939629.0
Short Int Pct of Float,0.029646
Days to Cover,9.09882
Float,27.44564
Shares Outstanding,29.69836
Institutions Holding Shares,150.0
% Held by Institutions,0.664501
FCF Growth 5yr,0.44938490738419606
