,BOMN
Next Earnings Announcement,2023-03-27 00:00:00
Growth Analysts,1.0
Growth 1yr Low Est,
Growth 1yr High Est,
Growth 1yr Consensus Est,
Growth 2yr Low Est,-0.6499999999999999
Growth 2yr High Est,-0.85
Growth 2yr Consensus Est,-0.75
Growth 5yr Low Est,-0.6499999999999999
Growth 5yr High Est,-0.85
Growth 5yr Consensus Est,-0.75
Growth 5yr Actual/Est,29.380036630036628
Growth 3yr Historic,30.0
