,BOMN
% Below High,0.0944
% Held by Institutions,0.6645
52-Wk Range,['18.68 - 30.94']
Annual Dividend $,
Annual Dividend %,
Ask,30.0
Ask Size,1200.0
B/A Ratio,0.08333333333333333
B/A Size,100x1200
Beta,0.6
Bid,25.25
Bid Size,100.0
Closing Price,28.02
Day Change $,-0.28
Day Change %,-0.009899999999999999
Day High,28.55
Day Low,28.02
Dividend Pay Date,No dividend
"EPS (TTM, GAAP)",-0.36
Ex-dividend Date,No dividend
Historical Volatility,0.444
Last (size),1.0
Last (time),5:00p ET 11/25/22
Market Cap,832.1M
"P/E Ratio (TTM, GAAP)",
Prev Close,28.3
Shares Outstanding,29.7M
Short Interest,0.0296
Today's Open,28.3
Volume,43751.0
Volume 10-day Avg,81618.0
Volume Past Day,(Light)
