,COST
Price/Earnings (TTM),40.61299
Price/Sales (TTM),1.04074
Price/Book (MRQ),11.44424
Price/Cash Flow (TTM),30.22394
5yr Low,172.55
5yr High,612.27
5yr Avg Return,0.2262833333333333
EPS Growth 5yr,0.1668048
Revenue Growth 5yr,0.119574
Dividend Growth 5yr,0.1206634
Short Int Current Month,4615392.0
Short Int Prev Month,4558405.0
Short Int Pct of Float,0.010456700000000001
Days to Cover,2.20597
Float,441.6334
Shares Outstanding,442.6042
Institutions Holding Shares,3391.0
% Held by Institutions,0.656963
FCF Growth 5yr,0.20179104754842295
